service,description,url,phone,url_phone
7 Cups,"Location: Landisville, New Jersey  
Operating Hours: No specific hours provided  
Prerequisites: No information found regarding prerequisites such as identification or forms needed.",https://www.7cups.com/local/us/nj/landisville/,,https://www.7cups.com/
7 Cups of Tea,"Location: Eickhoff Hall, Room 107, The College of New Jersey, P.O. Box 7718, 2000 Pennington Rd., Ewing, NJ 08628  
Operating Hours: Monday - Thursday: 8:30 a.m. – 4:30 p.m., Friday: 8:30 a.m. – 4:00 p.m., Saturday & Sunday: Closed  
Prerequisites: No specific prerequisites mentioned, but online therapy requires users to be aged 18+ and involves a signup process.",https://caps.tcnj.edu/resources/self-help-resources/7-cups-of-tea/,6097712247,https://caps.tcnj.edu/resources/self-help-resources/7-cups-of-tea/
A Better Tomorrow Counseling Service,"Location: Turnersville, NJ

Operating Hours: Daytime and evening appointments available; chat support between 8 AM - 2 PM.

Prerequisites: An intake form is required for the first visit.",https://abettertomorrowcounselingservices.com/,8562664983,https://abettertomorrowcounselingservices.com/
A Place For Us Atlantic County Women's Center - Linwood,"Avanzar is located at 927 North Main Street, Building D, Pleasantville, NJ 08232. They operate a 24-hour hotline which can be reached at 1-800-286-4184. The website does not specify any prerequisites, such as identification requirements, for accessing their services.",https://avanzarnow.org/,18002864184,https://avanzarnow.org/
A Place to Call Home,"Location: 42 Delsea Drive South, Glassboro, NJ 08028  
Operating Hours: Not specified  
Prerequisites: Designed for expectant and postpartum women who have struggled with substance abuse and are in early recovery and may require some form of identification or verification related to their status.  ",https://acendahealth.org/programs/a-place-to-call-home/,8444223632,https://acendahealth.org/programs/a-place-to-call-home/
A WAY TO HOPE,"Location: 270 East 32nd Street, Paterson, NJ 07504  
Operating Hours: No specific operating hours mentioned  
Prerequisites: No specific prerequisites mentioned, but participation in events may require registration or identification related to events (not explicitly stated)",https://www.ourwaytohope.org/,,http://www.apathwaytohope.org/
A's Attic Thrift Store,"A's Attic Thrift Store is located at 389 Somerset St, Somerset, NJ. There is no information provided about operating hours or prerequisites such as the need for identification.",https://thriftstored.com/thrift-store/as-attic-thrift-store-somerset-nj,7322078659,https://thriftstored.com/thrift-store/as-attic-thrift-store-somerset-nj
AA Inter Group,"The 988 Lifeline Pre-Chat Survey does not provide specific information regarding its location, operating hours, or prerequisites for use.",https://988lifeline.org/chat,,https://988lifeline.org/chat
AA Speaker,"Location: Northern New Jersey  
Operating Hours: There are no specific operating hours mentioned; sign-ups occur at the monthly Intergroup meeting.  
Prerequisites: Members need to email the committee to sign up for speaking commitments. No specific form of identification is mentioned.",https://www.nnjaa.org/service/ig_speakers/,9086878566,https://www.nnjaa.org/resources/contacts.html
"Aaron C Vanhise, DO","Location: 831 Tennent Road, Manalapan, NJ 07726  
Operating Hours: Not specified  
Prerequisites: Not specified  ",https://www.gardenstateheartcare.com/aaron-c-vanhise-do%EF%BB%BF/,7328514700,https://doctors.hackensackmeridianhealth.org/provider/aaron-c-van-hise/1316845
Abolition + mental health: A learning guide,"```json
{
  ""location"": """",
  ""operating_hours"": """",
  ""prerequisites"": """"
}
```",https://gabestorres.com/wp-content/uploads/2022/09/abolition-mental-health-a-learning-guide-2.pdf,,https://www.nj.gov/humanservices/dmhas/home/hotlines/MH_Dir_COMPLETE.pdf
Absolute Awakening,"3000 NJ-10, Morris Plains, NJ 07950. Operating hours are not specified. Prerequisites include insurance verification and possibly a form of identification, as clients need to provide personal information and consent for treatment.",https://absoluteawakenings.com/,8667680528,https://absoluteawakenings.com/
Access Link Disability Transportation,"Access Link is NJ TRANSIT’s ADA paratransit service for individuals with disabilities who cannot use local bus services. 

**Location:**
The service operates within the same areas as local bus routes and light rail systems in New Jersey.

**Operating Hours:**
- Access Link operates during the same days and hours as local fixed-route bus services, including weekends and holidays. 
- For customer service, the following hours apply:
  - **Certification:** Monday - Friday, 8:30 AM to 5:00 PM
  - **Next Day Reservations:** Daily, 7:30 AM to 4:00 PM
  - **Future Reservations:** Daily, 7:30 AM to 3:00 PM
  - **Addresses and Fares:** Monday - Friday, 7:30 AM to 3:00 PM
  - **Cancel Rides:** Daily, 5:00 AM to 10:00 PM
  - **Customer Service:** Monday - Friday, 8:00 AM to 4:00 PM

**Prerequisites:**
- An interview is required for full paratransit eligibility, either via phone or in-person.
- Medical verification regarding disabilities is also necessary.
- Customers must provide a customer ID number and a four-digit PIN for reservations.
- If traveling with a child requiring a safety restraint system, an appropriate system must be provided. 
- Passengers with personal care attendants (PCA) can ride for free if the PCA is accompanying them.

For more information, call Access Link at 973-491-4224.",https://www.njtransit.com/accessibility/access-link-ada-paratransit,9734914224,https://www.njtransit.com/accessibility/access-link-ada-paratransit
Access Medical Associates,"Access Medical Associates is located at 3322 Route 22 West, Branchburg, NJ 08876. Their operating hours are 8:00 AM to 8:00 PM Monday through Friday, and 8:00 AM to 4:00 PM on Saturday and Sunday. No specific prerequisites such as identification are mentioned for using their services, although an appointment is required for COVID-19 testing.",https://www.accessmedicalassoc.com/,9087040100,https://www.accessmedicalassoc.com/
Acenda Integrated Health,"Location: 42 Delsea Drive South, Glassboro, NJ 08028  
Operating Hours: Not specified  
Prerequisites: No information found",https://acendahealth.org/,8444223632,https://acendahealth.org/contact-us/
Acenda Intergrated Health,"Acenda is located at 42 Delsea Drive South, Glassboro, NJ 08028. The operating hours are not specified on the website. There is no information provided about prerequisites, such as the need for identification.",https://acendahealth.org/,8444223632,https://acendahealth.org/contact-us/
Achieve Physical Therapy,"Achieve Physical Therapy is located at 1700 NJ-23 suite 110, Wayne, NJ 07470, and also has a location inside The War Room at 9 Whippany Rd, unit 9, Whippany NJ 07981. The operating hours are not specified on the website. There is no information provided regarding prerequisites for using their services.",https://www.achieveptnj.com/,9738461244,https://www.achieveptnj.com/
Acme Savon Pharmacy,"The website lists 47 ACME Markets Pharmacy locations in New Jersey. However, there is no specific information provided regarding operating hours or prerequisites for using the pharmacy services, such as identification requirements.",https://local.pharmacy.acmemarkets.com/nj.html,,https://local.pharmacy.acmemarkets.com/nj.html
Active Day,"6 Neshaminy Interplex Suite 401 Trevose, PA 19053. Operating hours and prerequisites for using services are not specified on the website.",https://www.activeday.com/locations/,8883386898,https://www.activeday.com/locations/
Addiction Services,,https://988lifeline.org/chat,,https://988lifeline.org/chat
Addiction Services for Children,"{""description"":""""}",https://988lifeline.org/chat,,https://988lifeline.org/chat
Addiction Treatment Services,"""""",https://988lifeline.org/chat,8886289454,https://988lifeline.org/chat
Addictions/Substance Use Disorder Support Groups,"The 988 Lifeline Pre-Chat Survey does not provide specific information regarding location, operating hours, or prerequisites such as forms of identification required to use the service.",https://988lifeline.org/chat,988,https://988lifeline.org/chat
Adelphi Orchestra,"Location: Various locations including Berrie Center - Sharp Theater in Mahwah, NJ; Broadway Presbyterian Church in New York, NY; and Fair Lawn Community Center Theater in Fair Lawn, NJ.

Operating Hours: Concerts are scheduled at various times, including evenings and afternoons.

Prerequisites: No specific prerequisites for attending concerts are mentioned; however, it is advisable to buy tickets for events.",https://www.adelphiorchestra.org/,2014770406,https://www.adelphiorchestra.org/contact-us-1
Adichunchanagiri Cultural and Spiritual Foundation of USA,,,,
"Adriana Neumann, BA","{""location"": ""Bala Cynwyd, PA"", ""operating_hours"": """", ""prerequisites"": """"}",https://neurabilities.com/our-team/staff-bio-adriana-neumann-bcba-lbs-med/,8563460005,https://neurabilities.com/our-team/staff-bio-adriana-neumann-bcba-lbs-med/
Adult Rehabilitation Center,"""""",https://988lifeline.org/chat,,https://988lifeline.org/chat
Advance Counseling,"Location: Advanced Counseling Services, LLC operates Monday to Friday from 9 am to 5 pm, with limited evening and weekend appointments available. There is no mention of prerequisites such as needing a form of identification to use their services.",https://advancedcounselingnj.com/,,https://advancedcounselingnj.com/
Advance Housing,,https://advancehousing.org/,2014989140,https://advancehousing.org/contact-us/
Advanced Physical Therapy,"Location: Not explicitly stated on the website.  
Operating Hours: Mon, Wed, Fri 9:00 am - 8:00 pm.  
Prerequisites: No information found regarding prerequisites or identification.",https://www.advancedphysicaltherapynj.com/,9082796890,https://www.advancedphysicaltherapynj.com/
Advanced Physical Therapy of South Jersey,"Location: 600 Cross Keys Rd., Suite 103, Sicklerville, NJ 08081

Operating hours: Not specified.

Prerequisites: Before the first visit, a new patient intake form needs to be filled out. No physician prescription is required in most cases, as NJ is a direct access state.",https://www.advancedphysicaltherapyofsj.com/,8567284100,https://www.advancedphysicaltherapyofsj.com/
Advantage Sleep Centers,"Location: 600 Cross Keys Rd., Suite 103, Sicklerville, NJ 08081. Operating hours are not specified. Prerequisites include filling out a new patient intake form before the first visit; however, in most cases, a physician's prescription is not needed as NJ is a direct access state.",https://adsleepcenters.com/our-services/,8567284100,https://adsleepcenters.com/contact-us/
Adventures For Women,"Adventures For Women (AFW) is located at P.O. Box 75, Midland Park, NJ 07432. The organization does not specify operating hours on the website. Participants must be women aged 18 years or older to join and participate in activities. There is no mention of additional prerequisites, such as a requirement for identification.",https://www.adventuresforwomen.org/,2013713089,https://www.adventuresforwomen.org/
Advocates for Children of New Jersey (ACNJ,"Location: P.O. Box 32069, 35 Halsey Street, Newark, NJ 07102  
Operating Hours: Not specified  
Prerequisites: No specific prerequisites mentioned for using their services.",https://acnj.org/,9736433876,https://acnj.org/
Affordable Housing Alliance,"Location: 3535 Route 66, Parkway 100, Building 4, Neptune Township, NJ 07753  
Operating Hours: Not specified  
Prerequisites: Not specified  ",https://housingall.org/,7323892958,https://housingall.org/contact-us/
Affordable Housing Alliance - Tom River,"Location: 3535 Route 66, Parkway 100, Building 4, Neptune Township, NJ 07753  
Operating Hours: Not specified  
Prerequisites: Not specified  ",https://housingall.org/,7323892958,https://housingall.org/contact-us/
Agape House,"Agape House is located at 122-128 E. Main Street, Somerville, NJ 08876. They operate 24/7 and provide emergency housing and case management services for single adults and families with children. Prerequisites for using the shelter include referrals from the local county board of social services.",https://www.voadv.org/locations/agapehouse/,9087079753,https://www.voadv.org/locations/agapehouse/
Aging & Disability Resource Connection,"Location: Trenton, NJ  
Operating Hours: Not specified  
Prerequisites: No specific prerequisites mentioned, but identification may be required for various programs.",https://www.adrcnj.org/,18772223737,https://www.adrcnj.org/
AHS Community Shelters,"{""location"":"""",""operating_hours"":"""",""prerequisites"":""""}",https://ahscares.org/,,https://chat.thehotline.us/v2/index.html?dkey=783ea42e-3aa0-42f4-9899-ad886e4995b4&skill=g1b
AHS Newark Shelter,"Location: 124 Evergreen Ave, Newark, NJ 07714  
Operating Hours: Sunday to Saturday, 12pm – 5pm  
Prerequisites: No specific prerequisites mentioned, but identification may be required for certain services.",https://ahscares.org/newark/,9738247080,https://ahscares.org/newark/
ALA CALL/Substance Abuse,"{""description"":""""}",https://988lifeline.org/chat,1-800-273-8255,https://988lifeline.org/chat
Alcoholics Anonymous (Phone meetings),"Northern New Jersey AA offers assistance for those seeking help to stop drinking. There is a contact number available for support 24 hours a day: (908) 687-8566. The website allows users to search for meetings by zip code, with options to find meetings within 5, 10, or 25 miles. There are no specific operating hours or prerequisites mentioned for attending meetings, such as identification requirements.",https://www.nnjaa.org/intergroup/meeting-finder.html,19086878566,https://www.nnjaa.org/
Alcyon Park,"Alcyon Lake Park is located at 10 West Holly Avenue, Pitman, NJ. The park is open daily from dawn to dusk. There are no specific prerequisites mentioned for using the park, such as identification requirements.",https://njaudubon.org/wp-content/wildlife/PineBarrensTrails/Sites/tabid/1698/Scope/site/Guide/PINEBARREN/Site/315/Default.html,,https://www.yelp.com/biz/alcyon-park-pitman-2
Aldersgate Outreach Community Center,"Location: 568 Ryders Lane, East Brunswick, NJ 08816  
Operating Hours: Tuesday, Thursday, Saturday from 10:00 AM to 12:00 PM  
Prerequisites: To use the food pantry, you must bring a government-issued photo ID and proof of current address. IDs are required for family members over 18, and birth certificates are required for children under 18.",https://www.aldersgateumcnj.org/outreach-center.html,7322547361,https://www.aldersgateumcnj.org/outreach-center.html
"All Ahead Title Agency, LLC","Location: 46 Highway 36, Keyport, New Jersey 07735  
Operating Hours: Mon - Fri: 8:30am - 5pm  
Prerequisites: No specific prerequisites mentioned.",https://www.allaheadtitle.com/,7323835287,https://www.allaheadtitle.com/
All Care Foot & Ankle Podiatrist,"Location: 1803 NJ-35, Oakhurst, 07755  
Operating hours: Not explicitly stated  
Prerequisites: New patient visits require emailing insurance card information to appointments@allcarefootandankle.com prior to the visit.",https://booksy.com/en-us/682019_allcare-foot-ankle-podiatrist-dr-allison-cheney_health-fitness_28681_oakhurst,7326953668,https://www.yelp.com/biz/allcare-foot-and-ankle-oakhurst-2
All Guard Auto Insurance Inc.,"Location: 80 Route 35, Neptune City, NJ 07753  
Operating Hours: Monday to Friday, 9:00 AM - 5:00 PM; after hours by appointment  
Prerequisites: No specific prerequisites mentioned regarding identification or documentation.",https://www.progressiveagent.com/local-agent/new-jersey/neptune-city/all-guard-auto-insurance-inc/,7329888888,https://www.progressiveagent.com/local-agent/new-jersey/neptune-city/all-guard-auto-insurance-inc/
All in a Day Medical Day Care Center,"All In A Day Medical Daycare Center is located at 104 Pension Rd, Englishtown, New Jersey 07726. The center operates from Monday to Saturday, 08:00 AM to 05:00 PM, and is closed on Sundays. There is a question regarding the possession of a Medicaid card when inquiring for information, suggesting that some form of identification or payer information may be required.",https://myadultdaycare.com/details/All-In-A-Day-Medical-Daycare-Center,7327922273,https://myadultdaycare.com/details/All-In-A-Day-Medical-Daycare-Center
All Things Purposeful Suicide Prevention and Greif Recovery Services,"The 988 Lifeline Pre-Chat Survey webpage does not provide specific information regarding location, operating hours, or prerequisites for use.",https://chat.988lifeline.org/,1-800-273-8255,https://chat.988lifeline.org/
Allied Home Mtg Capital Corporation,"Location: 4315 New Brunswick Ave, South Plainfield, New Jersey 07080  
Operating Hours: Not specified  
Prerequisites: Not specified  ",https://www.yelp.com/biz/allied-home-mortgage-capital-corporation-south-plainfield,7324248404,https://www.yelp.com/biz/allied-home-mortgage-capital-corporation-south-plainfield
Allied Wealth Partners Special Needs Division,"Location: 14 Walsh Drive, Suite 100, Parsippany, NJ 07054  
Operating Hours: Not specified  
Prerequisites: No specific prerequisites mentioned, but it may be advisable to contact the special needs professionals for individualized assistance.",https://www.alliedwealthpartners.com/special-needs-families,7325707433,https://www.alliedwealthpartners.com/special-needs-families
Alpha III (Straight & Narrow),"Location: 508 Straight Street, Paterson, NJ 07503  
Operating Hours: Not specified  
Prerequisites: Women with an open DCPP case pending reunification with their child under 5 years of age are eligible. Women's participation in the program requires involvement in an intensified treatment program, which includes education about child development and parenting. Women on medically assisted treatment or detoxification are accepted into the program. Assistance is provided for obtaining medical benefits, TANF, WIC, and SNAP benefits.",https://ccpaterson.org/alpha-3-paterson-1,9733456000,https://ccpaterson.org/alpha-3-paterson-1
Alpha School,"Alpha School is located at 935 Bennetts Mills Rd, Jackson, NJ 08527. Specific operating hours are not mentioned on the website. There is no detailed information about prerequisites such as identification for using the school’s services.",https://alphaschool.com/,7323701150,https://alphaschool.com/
Alternatives,"600 First Avenue, Raritan, NJ 08869. Operating hours are not specified on the website. No specific prerequisites mentioned, such as a need for identification.",https://www.alternativesinc.org/,9086851444,https://www.alternativesinc.org/contact/
American Health Association (AHCA),"American Health Care Association (AHCA) is located at 2 Massachusetts Avenue NE, Unit 77880, Washington, DC 20013. The phone number is +1 (202) 842-4444 and the fax number is +1 (202) 842-3860. No specific operating hours or prerequisites for using their services are provided on the website.",https://www.ahcancal.org/,2028424444,https://www.ahcancal.org/
American Heritage Federal Credit Union,"2060 Red Lion Road, Philadelphia, PA 19115. Operating hours are not specified on the website. There is no information found regarding prerequisites for using their services.",https://www.americanheritagecu.org/,2159690777,https://www.americanheritagecu.org/about-us/contact-us
American Red Cross,"The American Red Cross New Jersey Region serves over 8.8 million residents in New Jersey. It has chapter locations in Fairfield (209 Fairfield Road, Fairfield, NJ 07004, 973-797-3300), Princeton (707 Alexander Road, Suite 101, Princeton, NJ 08540, 609-951-8550), and Pennsauken (5425 Rt. 70 West, Pennsauken, NJ 08109, 856-365-7100). 

The Blood Donation Centers are in Princeton (707 Alexander Road, Suite 101, 1-800-RED CROSS), Delran (5029 US-130, Ste. 450, 1-800-RED CROSS), Fairfield (209 Fairfield Road, 3rd Floor, 1-800-RED CROSS), and Pennsauken (5425 West Route 70, 1-800-RED CROSS).

Operating hours and specific requirements for visits (like identification) were not provided in the text.",https://www.redcross.org/local/new-jersey.html?srsltid=AfmBOor0JuHdA2YujMD086MBGV2-hYo7dNclAwXfP5D_AfyF28mA93tT,18007332767,https://www.redcross.org/local/new-jersey.html?srsltid=AfmBOooyzYmJlREzojHCGf7_zXl0c2T5bIVo9c6UkxGnVnf4CjFd6yfR
America’s Best Contacts & Eyeglasses,"America's Best Contacts and Eyeglasses has various locations throughout New Jersey. They offer eye care services, including comprehensive eye exams and a selection of eyewear. However, the website does not specify operating hours or any prerequisites for services, such as identification requirements.",https://www.americasbest.com/location/nj/,,https://www.americasbest.com/location/nj/
America’s Keswick,"America's Keswick Christian Retreat and Conference Center is located at 601 Route 530, Whiting, New Jersey, 08759. The center operates Sunday to Saturday from 8:00 am to 5:00 pm, and is closed on Thanksgiving, Christmas Eve, Christmas, New Year's, Good Friday, and Easter. There is no specific mention of prerequisites, but groups must adhere to all policies and be respectful of the center's statement of faith and mission statement. A form of identification is not explicitly required for events.",https://americaskeswick.org/,7323501187,https://americaskeswick.org/contact-us/
"Amos E Katz, MD","Location: The Linda Cardinale MS Center, 901 West Main Street, Suite 364, Freehold, NJ 07728  
Operating Hours: Not specified  
Prerequisites: Not specified  ",https://www.centrastate.com/find-a-physician/amos-katz-md-multiple-sclerosis/,7324312000,https://www.centrastate.com/find-a-physician/amos-katz-md-multiple-sclerosis/
"Andrew C Hirsch, MD","Location: Red Bank Office - 258 Broad Street, Red Bank, NJ 07701; Manalapan Office - 224 Taylors Mills Road Suite 103, Manalapan, NJ 07726. 

Operating Hours: 
- Red Bank Office: 
  - Monday: Closed (Appointments Available in Manalapan)
  - Tuesday: 8:00 AM - 12:00 PM, 1:00 - 4:00 PM
  - Wednesday: 9:00 AM - 12:00 PM, 1:00 - 5:00 PM
  - Thursday: 10:30 AM - 1:00 PM, 3:00 - 7:00 PM
  - Friday: Closed (Appointments Available in Manalapan)
  - Saturday (Every Other): 8:30 AM - 12:00 PM
- Manalapan Office:
  - Monday: 9:00 AM - 1:00 PM, 3:00 - 7:00 PM
  - Tuesday: Closed (Appointments Available in Red Bank)
  - Wednesday: Closed (Appointments Available in Red Bank)
  - Thursday: Closed (Appointments Available in Red Bank)
  - Friday: 10:30 AM - 1:00 PM, 2:00 - 5:00 PM
  - Saturday: Closed (Appointments Available in Red Bank)

Prerequisites: Nearly all major insurance plans accepted; patients may need to confirm coverage with their insurance provider. There is also a New Patient Form available for completion.",https://www.sneezedoctornj.com/,7327418900,https://www.sneezedoctornj.com/
"Angels For Action, Inc.","The location of Angels For Action Inc. is 209 West 2nd Street, Plainfield, NJ 07060. They are temporarily closed due to a car collision with their building. Operating hours are Tuesday 12:30 PM – 2:30 PM, Wednesday 6:00 PM – 7:30 PM, Friday 5:30 PM – 7:00 PM, and Saturday 10:00 AM – 2:00 PM, with appointments available by email for other times. Community ID cards are available for Plainfield residents, and while these cards do not provide legal residency or the right to work, they facilitate access to community services. No specific prerequisites for using their services are mentioned, other than the need for identification to obtain the Community ID card.",https://www.angelsactioninc.org/,,https://www.angelsactioninc.org/
Anna Sample Family Shelter VOA of America,"Location: 408-416 Line Street, Camden, NJ  
Operating Hours: 24/7 access to on-site support staff  
Prerequisites: Referrals are accepted from the local county board of social services.",https://www.voadv.org/locations/annasample/,8569630430,https://www.voadv.org/locations/annasample/
"ANTERO B GONZALES, MD","Locations:
1. IM Care Medical Group, 246 South Street, Freehold, NJ 07728
2. IM Care Medical Group, 35 Beaverson Blvd, Suite 2B, Brick, NJ 08723

Operating Hours: Not specified.

Prerequisites: No specific forms of identification or prerequisites mentioned.",https://www.centrastate.com/find-a-physician/antero-gonzales-md-internal-medicine/,7324312000,https://www.centrastate.com/find-a-physician/antero-gonzales-md-internal-medicine/
Anxiety and Depression Association of America,"OCD New Jersey has support groups available in more than 13 cities across New Jersey. For more details regarding these groups, phone numbers, and locations, it is advised to check their website. No specific information on operating hours or prerequisites such as identification requirements is provided.",https://adaa.org/find-help/find-support/support-groups/ocd-new-jersey,2404851018,https://adaa.org/contact-us
Anyone Can Fly Foundation,"Englewood, NJ. No specific operating hours or prerequisites mentioned.",https://www.anyonecanflyfoundation.org/,6468202134,https://www.anyonecanflyfoundation.org/contact
Anytime Fitness,"I'm sorry, but I can't access external websites. However, I can help you summarize information if you provide the text or key details from the website.",https://www.anytimefitness.com/locations/us/nj/,Sure! Please provide the text from the website for me to find the phone number.,https://www.anytimefitness.com/locations/us/nj/
Apostles Lutheran Church,"Apostles Lutheran Church is located at 4401 Black Horse Pike (Rt 42), Turnersville, NJ 08012. The church's Sunday worship service starts at 10:00 AM and includes Communion. There are no specified prerequisites for attending services, as all are welcome. Additionally, a food pantry operates on the 2nd and 4th Thursdays from 1 PM to 3 PM, and a Grief Share Group meets on the 1st Thursday of the month at 10:30 AM.",https://www.apostleslc.org/,8566294228,https://www.apostleslc.org/
Apostles' House,"Apostles Lutheran Church is located at 4401 Black Horse Pike (Rt 42), Turnersville, NJ 08012. The Sunday worship service is at 10:00 AM, and a food pantry operates on the 2nd and 4th Thursdays from 1 PM - 3 PM. There are no specific prerequisites mentioned for using the church’s services, and all are welcome to participate in the community and worship.",https://theapostleshouse.org/,8566294228,https://theapostleshouse.org/contact/
Arc of Cape May County,"The Arc of Cape May is located at P.O. Box 255, South Dennis, NJ 08245. There is no specific information provided regarding operating hours or prerequisites such as identification requirements for using their services.",https://arcofcapemay.org/,6098617100,https://arcofcapemay.org/
ARP Addiction Recovery Program,"The 988 Lifeline Pre-Chat Survey does not provide specific information regarding location, operating hours, or prerequisites.",https://988lifeline.org/chat,1-800-273-8255,https://988lifeline.org/chat
Arsha Bodha Center,"Arsha Bodha Center is located at 84 Cortelyou Lane, Somerset, NJ 08873. The center offers in-person classes on Saturdays and Sundays and an online class on Tuesdays. There is no specific information regarding prerequisites or the need for identification.",https://arshabodha.org/,7329404008,https://arshabodha.org/
Art of Living,"Location: Art of Living Morris County, 1280 US 46 Suite 12 Second level, Parsippany, New Jersey, 07054  
Operating Hours: Various classes/events throughout the week, including sessions every Sunday at 4 PM and monthly events at different times.  
Prerequisites: No specific identification required for participation in classes and events mentioned.",https://www.artofliving.org/us-en/new-jersey,9085434779,https://www.artofliving.org/us-en/new-jersey
Arthur P Christiano MD,"Location: Urology Associates, 595 Shrewsbury Avenue, Suite 103, Shrewsbury, NJ 07702  
Operating Hours: Not specified  
Prerequisites: Not specified",https://doctors.hackensackmeridianhealth.org/provider/arthur-p-christiano/1317003,7327415923,https://doctors.hackensackmeridianhealth.org/provider/arthur-p-christiano/1317003
Asbury park housing Authority,"Location: 1000 1/2 3rd Avenue, Asbury Park, NJ 07712  
Operating hours: Not specified  
Prerequisites: No information found",https://aphanj.org/,7327742660,https://aphanj.org/
Asbury Park Housing Authority,"Location: 1000 1/2 3rd Avenue, Asbury Park, NJ 07712  
Operating Hours: Not specified  
Prerequisites: Not specified  ",https://aphanj.org/,7327742660,https://aphanj.org/
ASDC CrossFit,"ASDC CrossFit is located at 19 Commerce St, Flemington, NJ 08822, United States. The gym offers various programs including CrossFit classes, private training, HYROX, and HIIT classes. To get started, potential members can schedule a ""no sweat intro,"" which allows them to discuss their fitness goals and experience a class for free. While no specific prerequisites are mentioned, scheduling the intro requires filling out a contact form with personal details.",https://www.asdccrossfit.com/,9087749106,https://www.asdccrossfit.com/
"Ashleigh Natter, LPC","Location: 303 W Main Street, Freehold, New Jersey, United States, 7728  
Operating Hours: Not specified  
Prerequisites: No information found",https://www.marriage.com/experts/ashleigh-natter,7323938391,https://providerwire.com/professional-counselor/new-jersey/freehold/ashleigh-natter-1386119394
ASSET Network (YAP),"Location: 3899 N. Front Street, Harrisburg, PA 17110  
Operating Hours: Not specified  
Prerequisites: No specific identification or prerequisites mentioned.",https://www.yapinc.org/,7172327580,https://www.yapinc.org/
Assisted Living (Care One),"``` 
{""location"": """", ""operating_hours"": """", ""prerequisites"": """"}
```",https://www.care-one.com/locations/,8552778550,https://www.care-one.com/locations/
