Service,Phone Number,Description,Website Link
A Place For Us Atlantic County Women's Center - Linwood,18002864184,"Avanzar is located at 927 North Main Street, Building D, Pleasantville, NJ 08232. They operate a 24-hour hotline available at 1-800-286-4184. There are no specific prerequisites mentioned for using their services, such as forms of identification.",https://avanzarnow.org/
A Place to Call Home,8444223632,"Location: 42 Delsea Drive South, Glassboro, NJ 08028  
Operating hours: Not specified  
Prerequisites: No specific identification requirements mentioned, but the program is for expectant and postpartum women who have struggled with substance abuse.",https://acendahealth.org/programs/a-place-to-call-home/
A WAY TO HOPE,8626003932,"Location: 270 East 32nd Street Paterson, NJ 07504  
Operating Hours: Not specified  
Prerequisites: No specific prerequisites mentioned.",https://www.ourwaytohope.org/
A's Attic Thrift Store,7327871150,"A's Attic Thrift Store is located at 389 Somerset St, Somerset, NJ 8873. The operating hours and any prerequisites for using the store, such as identification requirements, are not provided in the information.",https://thriftstored.com/thrift-store/as-attic-thrift-store-somerset-nj
AA Inter Group,9086878566,"Northern New Jersey AA operates 24 hours a day, 7 days a week. There is no specific information regarding prerequisites such as forms of identification.",https://www.nnjaa.org/
AA Speaker,9086878566,"Location: Northern New Jersey  
Operating Hours: Monthly Intergroup meeting (exact time not specified)  
Prerequisites: No specific identification or prerequisites mentioned; participation is open to any member of the fellowship who wishes to join the commitment.",https://www.nnjaa.org/service/ig_speakers/
"Aaron C Vanhise, DO",7328514700,"Location: 831 Tennent Road, Manalapan, NJ 07726  
Operating Hours: Not specified  
Prerequisites: Not specified  ",https://www.gardenstateheartcare.com/aaron-c-vanhise-do%EF%BB%BF/
Absolute Awakening,8667680528,"3000 NJ-10, Morris Plains, NJ 07950. There are no specified operating hours mentioned. Prerequisites include verification of insurance, and it is recommended to bring certain items (specific items not listed).",https://absoluteawakenings.com/
Access Link Disability Transportation,9734914224,"Access Link is a public transportation service in New Jersey for people with disabilities who cannot use local bus services. The service operates during the same hours as local fixed-route bus services, including weekends and holidays. To utilize Access Link, individuals must first apply for eligibility through a telephone interview process, where they will need to provide medical verification of their disability. Customers must also bring appropriate identification, including their customer ID number when making reservations.",https://www.njtransit.com/accessibility/access-link-ada-paratransit
Acenda Integrated Health,8444223632,"Acenda is located at 42 Delsea Drive South, Glassboro, NJ 08028. There is no specified information regarding operating hours or prerequisites, such as the need for identification.",https://acendahealth.org/
Acenda Intergrated Health,8444223632,"**Location:** 42 Delsea Drive South, Glassboro, NJ 08028  
**Operating Hours:** Not specified  
**Prerequisites:** No specific prerequisites mentioned, but services may require a form of identification based on typical practice in similar organizations.",https://acendahealth.org/
Achieve Physical Therapy,9738461244,"Achieve Physical Therapy is located at 1700 NJ-23 suite 110, Wayne, NJ 07470, and also at 9 Whippany Rd, unit 9, Whippany NJ 07981. The operating hours are not specified on the website. There is no indication of prerequisites such as the need for identification to use their services.",https://www.achieveptnj.com/
Acme Savon Pharmacy,,ACME Markets Pharmacy has 47 locations across New Jersey. The website does not specify operating hours or prerequisites such as identification requirements for using the pharmacy services.,https://local.pharmacy.acmemarkets.com/nj.html
Active Day,8564520960,"6 Neshaminy Interplex Suite 401 Trevose, PA 19053. Operating hours were not specified. No prerequisites for using the services were mentioned.",https://www.activeday.com/locations/
Addiction Services,18447322465,"ReachNJ is a central call-in line for New Jersey residents seeking help with substance use disorders (SUD). It operates 24/7 and each call is answered by a live person within 30 seconds. The service is available to residents of all ages, regardless of insurance status or ability to pay. There are no specific prerequisites mentioned, such as identification requirements.",https://nj.gov/humanservices/reachnj/
Addiction Services for Children,18447322465,"Location: 300 Horizon Drive Suite 306, Robbinsville, NJ 08691-1919  
Operating Hours: 24 hours a day, 7 days a week  
Prerequisites: Youth must consent to their own treatment and release of records; parents cannot access the treatment portion of the record without the child’s consent.",https://www.performcarenj.org/families/substance/index.aspx
Addiction Treatment Services,18447322465,"Location: New Jersey

Operating Hours: Not specified

Prerequisites: No specific information found regarding prerequisites or identification requirements.",https://www.nj.gov/humanservices/dmhas/resources/services/treatment/addictions.html
Addictions/Substance Use Disorder Support Groups,18447322465,"Dover, NJ 07801; Princeton, NJ 08540; Kingston, NJ 08528; Summit, NJ 07901; Newark, NJ 07105; Somerville, NJ 08876; Mullica Hill, NJ 08062; Manasquan, NJ 08736; Berlin, NJ 08009; Freehold, NJ 07728; Midland Park, NJ 07432; Hackensack, NJ 07601; Haskell, NJ 07420; Haddon Township, NJ 08108; Ramsey, NJ 07446; Cherry Hill, NJ 08003; Wall, NJ 07719; Rockaway, NJ 07866; Teaneck, NJ 07666.

Operating hours: Group meeting times vary; some groups meet weekly, with specific days and hours mentioned (e.g., Tuesdays at 7 PM for Women's Emotional Sobriety Group and the third Wednesday of each month for Helping Families Cope). 

Prerequisites: Some groups require participants to commit to abstinence or have completed prior treatment programs. Identification or prior assessment may be necessary for certain groups, fitness for specific discussions or topics may also be pertinent.",https://www.psychologytoday.com/us/groups/new-jersey?category=addiction
Adichunchanagiri Cultural and Spiritual Foundation of USA,,The Adichunchanagiri Cultural and Spiritual Foundation of USA is located in New Jersey. The website does not specify operating hours or prerequisites for using the facilities.,https://acsfusa.org/proposal/
"Adriana Neumann, BA",8563460005,"Location: 2050 Voorhees Town Center, Voorhees, NJ 08043-1910, Camden County  
Operating Hours: Monday to Friday, 9:00 am - 5:00 pm  
Prerequisites: No specific prerequisites mentioned, but it is standard to check with the provider regarding details about identification or insurance acceptance.",https://www.horizonblue.com/behavioralhealth/find-behavioral-health-provider/behavioral-health-doctors-profile/all/adriana-neumann-voorhees-nj-1272617P1458701
Adult Rehabilitation Center,8007287825,"The Newark Adult Rehabilitation Center is located at 65 Pennington Street, Newark, New Jersey 07105. There are no specific operating hours or prerequisites mentioned for using the services.",https://newarkarc.salvationarmy.org/newarkarc/
Advance Counseling,,"**Location:** Advanced Counseling Services, LLC  
**Operating Hours:** Monday - Friday 9am-5pm; Limited evening and weekend appointments available  
**Prerequisites:** No specific prerequisites mentioned, but email contact is preferred due to high call volume.",https://advancedcounselingnj.com/
Advance Housing,2014989140,"""""",https://advancehousing.org/
Advanced Physical Therapy,8567284100,"Location: 633 Woodbury-Glassboro Rd., Sewell, NJ 08080; 283 Egg Harbor Rd., Sewell, NJ 08080; 600 Cross Keys Rd., Suite 103, Sicklerville, NJ 08081. 

Operating Hours: Not specified.

Prerequisites: New patients need to fill out a new patient intake form before their first visit. No physician prescription is needed in most cases as NJ is a direct access state.",https://www.advancedphysicaltherapyofsj.com/
Adventures For Women,2013713089,"Adventures For Women (AFW) is located at P.O. Box 75, Midland Park, NJ 07432. There are no specific operating hours mentioned on the website. Registration for events generally opens 2-3 weeks prior and closes around 2 PM the day before the event. To participate in events, there appears to be no stated prerequisite in terms of identification or other requirements. However, it is advisable to register for events in advance.",https://www.adventuresforwomen.org/events-1
Advocates for Children of New Jersey (ACNJ,9736433876,"Location: 35 Halsey St., Newark, NJ 07102  
Operating Hours: Not specified  
Prerequisites: Not specified",https://datacenter.aecf.org/about/state-providers/details/31-advocates-for-children-of-new-jersey
Affordable Housing Alliance,7323892958,"Location: 3535 Route 66, Parkway 100, Building 4, Neptune Township, NJ 07753  
Operating hours: Not specified  
Prerequisites: No specific requirements mentioned, but services may involve standard identification or documentation as typically required for housing assistance programs.",https://housingall.org/
Affordable Housing Alliance - Tom River,7323892958,"Address: 3535 Route 66, Parkway 100, Building 4, Neptune Township, NJ 07753

Operating Hours: Not specified

Prerequisites: Not specified",https://housingall.org/
Aging & Disability Resource Connection,18772223737,"Location: Trenton, NJ (Department of Human Services, 222 South Warren Street, PO Box 700)  
Operating Hours: Not specified  
Prerequisites: Not specified  ",https://www.adrcnj.org/
Alcoholics Anonymous (Phone meetings),19086878566,"Location: Northern New Jersey  
Operating Hours: 24 hours a day (for help via phone)  
Prerequisites: No specific identification mentioned; contact phone number provided for assistance.",https://www.nnjaa.org/intergroup/meeting-finder.html
Alcyon Park,8565820381,"Alcyon Lake Park is located at 10 West Holly Avenue, Pitman, NJ. The park is open daily from dawn to dusk. There are no specific prerequisites mentioned for visiting the park, such as ID requirements. Dogs must be kept on a leash. The park features various amenities including fields for baseball, football, and soccer, a picnic pavilion, and a boat ramp.",https://njaudubon.org/wp-content/wildlife/PineBarrensTrails/Sites/tabid/1698/Scope/site/Guide/PINEBARREN/Site/315/Default.html
"All Ahead Title Agency, LLC",7323835287,"Location: 46 Highway 36, Keyport, New Jersey 07735  
Operating Hours: Mon - Fri: 8:30am - 5pm  
Prerequisites: No specific information found regarding prerequisites such as identification.",https://www.allaheadtitle.com/
All Care Foot & Ankle Podiatrist,,"Location: 1081 Paulison Ave, Clifton, NJ 07011  
Operating Hours: Not specified  
Prerequisites: Not specified",https://www.yelp.com/biz/allcare-foot-and-ankle-center-clifton
All Guard Auto Insurance Inc.,7329888888,"Location: 80 Route 35, Neptune City, NJ 07753  
Operating Hours: Monday to Friday, 9:00 AM to 5:00 PM, with after-hours contact by appointment  
Prerequisites: No specific prerequisites mentioned, but the contact methods suggest potential identification might be required when discussing insurance options.",https://www.progressiveagent.com/local-agent/new-jersey/neptune-city/all-guard-auto-insurance-inc/
All in a Day Medical Day Care Center,7327922273,"All In A Day Medical Daycare Center is located at 104 Pension Rd, Englishtown, New Jersey 07726. The operating hours are Monday to Saturday from 08:00 AM to 05:00 PM, and the center is closed on Sundays. There is a prerequisite for using the services; individuals are asked if they currently have a Medicaid card when requesting information.",https://myadultdaycare.com/details/All-In-A-Day-Medical-Daycare-Center
